index,query,question_type,true_label,prediction,correct
363,What is the minimum value of the line on top?,0,38,51,0
364,What's the rightmost value of dark brown graph?,0,64,64,1
365,What's the median of first three data points of dark brown line?,0,60,60,1
366,How many colors are used to represent the graph?,0,2,3,0
367,What's the ratio(A:B) of yellow data points in first two years?,0,0.042361111,1,0
369,What's the ratio of smallest and largest segment?,0,0.047916667,0.111,0
370,What is the largest value in the graph?,0,0.43,43%,0
371,What is the difference in the value of 'A great deal' and 'Not much'?,0,0.09,9%,0
372,Is the value of blue line always less than other two lines?,0,Yes,Yes,1
373,What's the average of all green data points above 40?,0,48.75,48.75,1
374,What's the value of leftmost blue data point?,0,56,56,1
375,How many blue data points have value above 60?,0,7,7,1
376,What is the % saying that there is solid evidence of warming among Democrats in 2012?,0,85,85,1
377,What is the difference in % saying that there is solid evidence of warming among Democrats and Republicans in 2012?,0,37,37,1
378,What is the least value of the two lines?,0,41,41,1
379,"Which mode of the two opinion data is smaller, Obama or Romney?",0,Romney,Romney,1
380,Which line represents Romney?,0,Red,Romney,0
381,What is the sum of the largest difference and the smallest difference in opinions between the two candidates?,0,18,18,1
382,"In the chart, the red line denotes to?",0,Romney,Romney,1
383,Find average of last three months for Obama?,0,44.3333,43.67,0
384,What is the blue line represents?,0,Obama supporters,Obama supporters,1
385,What is the minimum value of the line on top?,0,70,70,1
386,At what value light blue line and navy blue line merged?,0,32,32,1
387,What's the total number of data points whose value is equal to 32 in light blue line?,0,2,2,1
388,What's the highest value of light blue graph?,0,65,65,1
389,What is the minimum value of the navy blue line?,0,30,30,1
390,Which two leaders is compared in the graph?,0,"[Obama, Romney]","[Obama, Romney]",1
391,What is the minimum value for Romney?,0,42,42,1
392,Which leader's data shown in red line graph?,0,Romney,Romney,1
393,Find the average of last three months of Romney's data?,0,44.33,0.443,0
394,What is the colour of Not necessary in pie chart?,0,gray,grey,0
395,Is the sum value of After the presidential inauguration in January more the As soon as possible by the current Congress and President Trump?,0,No,No,1
396,Which party does Red segment represent?,0,Republican Party,Republican Party,1
397,What is the difference value of Democratic party and Republican party in the year March 2012?,0,13,13,1
398,When does the dark line value reach the peak?,0,68,1968,0
399,What's the largest gap between two lines?,0,13,13,1
400,When does line for the Republicans reach the peak?,0,2005,2005,1
401,What's the largest gap between two lines?,0,26,26,1
402,What's the value of Accepted graph in 2011?,0,58,58,1
403,"Divide largest difference by smallest difference between two lines, what's the result?",0,12.5,12.5,1
404,What's the rightmost value of Excellent/Good graph?,0,46,46,1
405,What's the occurrence of 44 data point in light blue graph?,0,2,1,0
406,What does dark blue/navy blue line indicates?,0,Excellent/Good,Excellent/Good,1
407,What is the value of the minimum gap between two lines?,0,1,1,1
408,Which line graph has the least variations in its data?,0,green,Mostly good news,0
409,Average the minimum opinion percentages of the three scenarios?,0,14.67,15,0
410,How many lines are in the graph?,0,3,3,1
411,What is the average of the lowest percentage of each of the parties?,0,20.5,20.5,1
412,What's the highest value of red line?,0,80,80,1
413,What's the total value of highiest value of both red and yellow line?,0,148,148,1
414,When does the oppose percentage reach the peak?,0,44444,Sept 2005,0
415,For how many years has the oppose line been higher than the favor line?,0,5,5,1
416,When does the line of favor reach the peak?,0,44295,Apr 2009,0
417,When does the gap between two lines reach the peak?,0,44295,Apr 2009,0
418,What's the highest value of orange line?,0,68,68,1
419,What's the difference of value of highest value of red and lowest value of green line?,0,79,79,1
420,What's the lowest value of of green line?,0,1,1,1
421,What's the add up value of highest value of green and highest value of orange line?,0,75,75,1
422,What does light blue line in the graph indicates?,0,Control gun ownership,Control gun ownership,1
423,"In 1993, what is the sum of the two values?",0,91,91,1
424,After which years the two lines crosses?,0,2008,"The two lines on the chart are ""Control gun ownership"" (light blue) and ""Protect rights of Americans to own guns"" (dark blue).
We need to find the point where these two lines cross.

1.  **Examine the lines from left to right:**
    *   From 1993, the light blue line is always above the dark blue line.
    *   At 1993: Control 57, Protect 34
    *   Around 1998-1999: Control 65 and 60, Protect 30 and 37
    *   At 2003: Control 54, Protect 42
    *   Around 2007-2008 (point before 2010): Control 58, Protect 37
    *   At 2010: Control 50, Protect 46

2.  **Check for a crossing point:**
    *   In all points up to and including 2010, the light blue line's value is higher than the dark blue line's value (e.g., at 2010, 50 > 46).
    *   Therefore, the lines do not cross *within* the displayed time frame up to 2010.

3.  **Consider the trend for future crossing:**
    *   From the point around 2007-2008 (58 for Control, 37 for Protect) to 2010 (50 for Control, 46 for Protect):
        *   The ""Control gun ownership"" line (light blue) is decreasing (from 58 to 50).
        *   The ""Protect rights of Americans to own guns"" line (dark blue) is increasing (from 37 to 46).
        *   The gap between the lines is shrinking (58-37=21, 50-46=4).
    *   If these trends continue, the dark blue line will eventually cross above the light blue line.

4.  **Determine ""After which years"":**
    *   Since the lines have not crossed by the end of 2010 (at the 2010 data point, the light blue line is still above the dark blue line), any crossing based on the observed trend must occur *after* 2010.
    *   If we calculate the approximate crossing point by linear interpolation/extrapolation between the last two segments (assuming the point (58,37) is at approx 2008 and (50,46) is at 2010):
        *   Control line decreases by 8 points (58-50) over approx 2 years.
        *   Protect line increases by 9 points (46-37) over approx 2 years.
        *   The difference decreases by 17 points over 2 years.
        *   At 2010, the difference is 4 points. To cross, the difference needs to become 0.
        *   This would take approximately (4 points / (17 points / 2 years)) = 4 / 8.5 = 0.47 years after 2010.
        *   So, the crossing would occur around 2010.47.

5.  **Conclusion:** The crossing occurs after the year 2010.

2010",0
425,What's the lowest value of control gun ownership?,0,50,50,1
427,How many times that red and yellow lines cross?,0,1,1,1
428,How many modes of news channel are mentions?,0,4,4,1
429,Is the highest rate of internet more then television?,0,No,No,1
430,What does the Green segment represent in the graph?,0,Local news programming,Local news programming,1
431,How many times it shows 16 in the Local news programming?,0,4,4,1
432,After which month Favor and Oppose line intersects?,0,May 2010,June,0
433,What's the average of all the Oppose data points below 40?,0,32,32,1
434,Is the color of Oppose line lighter than Favor line?,0,Yes,Yes,1
435,Is the difference between Favor and Oppose graph decreasing from Apr 2009 to May 2010?,0,Yes,Yes,1
436,Which indicator represents the middle line?,0,Given a lot of thought to the election,Given a lot of thought to the election,1
437,What is the difference in the leftmost and rightmost value of the upper line in the graph?,0,5,5,1
438,What does the yellow part indicates in the chart?,0,Nothing at all,Nothing at all,1
439,What is the difference in the value of 'A little' and 'A lot'?,0,0.17,17,0
440,What is the least value who oppose same sex marriage gains more acceptance?,0,48,48,1
441,How many times the value show 37 in the favour segment?,0,2,2,1
442,How many times the value show 35 in the Democratic leaders?,0,3,3,1
443,What is the sum value in the year Oct 2009 in Democratic leaders and Republican leaders?,0,57,57,1
444,What's the rightmost value of Oppose graph?,0,48,48,1
445,How many times 37 data points repeat in Favor graph?,0,2,2,1
446,What's the color of graph which is higher in 2010?,0,Red,red,1
447,What's the average of largest red data point and leftmost blue data point?,0,53,53,1
448,What's the peak value of orange graph?,0,44,44,1
449,Is the least difference between blue and orange graph greater than least value of blue graph?,0,No,No,1
450,What's the color of graph whose value is always greater than other graph?,0,Blue,blue,1
451,Is the peak value of orange graph greater than peak value of blue graph?,0,No,No,1
452,Is the value of blue line always greater than orange line?,0,Yes,Yes,1
453,How many orange data points have 15 value?,0,2,2,1
454,What's the percentage value gray segment?,0,38,38%,1
455,What's the sum two largest segment?,0,77,77%,1
456,What is the percentage of U.S. who say scientists should take an active role in policy debates?,0,0.6,60%,0
457,What is the difference in percentage of U.S. people who thinks scientists should take active part in policy debates and those thinks they should focus on establishing sound scientific facts?,0,0.21,21%,0
458,What is the total percentage of all registered democrats?,0,0.303,30.3%,0
459,How much more percent of total registered Republicans than total registered democrats?,0,0.015,1.5%,0
460,How many segments are there?,0,3,3,1
461,The percent of people supporting new civil rights law exceeds that of not supporting by how much?,0,27,17%,0
462,"In the pie chart, what is A great deal percentage?",0,22,22%,1
463,What is the ratio between Not too much/not at all vs some?,0,0.9744,0.974,0
465,What is the upper bound of the largest pie?,0,0.84,84%,0
466,What is the % of Authorized non EU-EFTA citiznes living in Europe?,0,80-84,80%-84%,1
467,What is the color of the largest pie?,0,Green,Green,1
468,What is the ratio between the blue and the gray segments?,0,1.542361111,1.028,0
469,What is the median value among all pies?,0,27,27%,1
470,What's the percentage value of U.S. adults who have heard a lot about facial recognition technology?,0,25,25,1
471,Is the value of largest segment greater than sum of other two?,0,Yes,Yes,1
472,Is there only three segments in the pie chart?,0,Yes,Yes,1
473,Is the percentage distribution of Other workers greater than sum of Self-employed and Hired by self-employed workers?,0,Yes,Yes,1
474,How much percent of americans say online classes provides equal educational value?,0,0.3,30%,0
475,Is the share of americans more who thinks online classes provides equal educational value than who opposes it?,0,No,No,1
476,How much percent of U.S. gun deaths in 2017 were murder?,0,0.37,37,0
477,What is the ratio of U.S. gun deaths murder v/s suicide in 2017?,0,0.6167,0.617,0
478,Which share got the biggest value?,0,Naturalized citizens,Naturalized citizens,1
479,What's the add up percentage of dark brown and gray share?,0,68,68%,1
480,What's the percentage value of biggest face?,0,66,66%,1
481,What's the difference between the percentage of biggest face and smallest face?,0,61,61%,1
482,What's the percentage answering no?,0,78,78%,1
483,What's ratio between answering yes and no?,0,0.309722222,0.269,0
484,What's the percentage of people using Latinx?,0,0.03,3%,0
485,What's the ratio of people use and do not use Latinx?,0,0.138888889,0.03125,0
486,What is the color of Stay about the same in the Pie graph?,0,gray,gray,1
488,Which color shows 8 percent in the Pie segment?,0,Blue,Blue,1
489,"What percent believes that US should hold China responsible for the role it played in the outbreak of the coronavirus ,even if it means worsening relations with China?",0,50,50%,1
490,What's the percentage of Latino adults who do not use Latinx?,0,20,20%,1
491,Is bigger segment greater than three times of smaller segment?,0,Yes,Yes,1
492,What's the percentage value of None segment?,0,23,23%,1
493,What's the median value of all the segments?,0,14,2,0
494,What is the population of unauthorised immigrants under foreign-born estimated in 2017?,0,10.5 ,10.5 million,0
495,What is the total population of naturalised citizens and lawful permanent residents in US Foregin born population?,0,33,33.0 million,0
496,What is the percentage of Lawful Immigrants under U.S. Foreign-born population?,0,0.77,77%,0
497,"As per the graph, is the share of Temporary lawful residents lowest?",0,Yes,Yes,1
498,Which option has the smallest slice?,0,Racial background,Racial background,1
499,"The three smallest slices of the graph, add up to what?",0,0.43,43%,0
500,What option is the smallest slice of this graph?,0,Use Latinx,Use Latinx,1
501,The two smallest slices add up to what?,0,0.23,23%,0
502,Is the color of smallest bar gray?,0,Yes,Yes,1
503,Is the difference between smallest and largest segment greater than yellow segment?,0,Yes,Yes,1
504,What's the percentage value of Somewhat successful segment?,0,60,60%,1
505,What's the ratio(A:B) of largest segment and second smallest segment?,0,0.500694444,12,0
506,How many friends does 6% show in a Pie graph?,0,1,1,1
507,Is the value of No friends more then more then 5 friends?,0,Yes,Yes,1
508,What color represent Wiped out cities?,0,Dark Green,olive green,0
509,What is the Ratio of Bombed one city at a time and Refused to use?,0,11,11,1
510,What' the color of smallest section in the chart?,0,gray,gray,1
511,Is the sum total of No Essential and DK is more then Essentials?,0,No,No,1
512,What's the name of biggest pie in the section?,0,Not mixed race,Not mixed race,1
513,What is the difference in value of Not mixed race and Mixed race?,0,30,30%,1
514,What is the % value of audience in the chart?,0,24,24%,1
515,What is the sum of the percentage of Advertising and Audience?,0,93,93%,1
516,What is the percentage of Don't know in the chart?,0,14,14%,1
517,What is the difference between the percentage of bad thing and good thing?,0,52,52%,1
518,Is the value of largest segment 31%?,0,No,No,1
519,Is the ratio of two smallest segment 1:4?,0,Yes,Yes,1
520,What's the percentage value of pink segment?,0,26,26%,1
521,"Substract smallest segment from the average of two yellow segments, what's the result?",0,26.5,26.5%,1
522,What's the color of biggest segment?,0,Green,Green,1
523,Is the add up value of all the smallest three segments is greater then the largest segment?,0,No,No,1
524,What is the color of smallest segment?,0,gray,Light gray,0
525,Is the largest segment value is greater then the sum of all two smallest segment?,0,Yes,Yes,1
526,What's the value of DK segment?,0,1,1,1
527,"What's the ratio of two largest segment (in A:B, A<B)?",0,0.047222222,1:8,0
528,What's the percentage value of yellow segment?,0,53,53%,1
529,What's the median of all the segments?,0,22,22%,1
530,What's the color of Smallest segment of the graph?,0,gray,grey,0
531,What's the Total add up value of Allowed to refuse services and Required to provide services?,0,96,96%,1
532,What's the value of darkest orange color segment of the graph?,0,53,53%,1
533,"Is the total add up value of smallest two segment is greater then ""More than Fair Share""?",0,No,No,1
534,What's the most popular option?,0,No more secure,No more secure,1
535,What's the total percentage of people choosing more secure and don't know?,0,38,38%,1
536,What's the most popular opinion?,0,President Obama,40%,0
537,What is the red pie represented?,0,Republican congressional leaders,Republican congressional leaders,1
538,What's the value of largest segment in the graph?,0,70,70%,1
539,Is the difference in the value of smallest two segment is half the value of largest segment in the graph?,0,No,No,1
540,What's the color of the biggest segment of the graph?,0,Dark yellow,golden,0
541,What's the difference in the value of smallest two segment of the graph?,0,2,2%,1
542,"What's the color of the ""Don't Know"" Segment of the graph?",0,gray,gray,1
543,What's the total add up value of the smallest and the largest segment of the graph?,0,90,90%,1
544,What's the value of smallest segment?,0,2,2%,1
545,"Is the value of ""Some Confidence"" is half the value of Largest segment of the graph?",0,No,No,1
546,What is the value of the largest segment?,0,50,50%,1
547,Is the add up value of smallest and 2nd largest segment is equal to largest segment value?,0,No,No,1
548,"In the pie chart, There is a value for 52 %, find that category?",0,As important as last year,As important as last year,1
549,"Add the two category More important and As important as last year, and divide it by less important?",0,4,4,1
550,What is the total value for Agree and Strongly agree?,0,91,91,1
551,How many times Agree is greater than Strongly agree?,0,1.0222222,1,0
552,Is the value of Refused segment 2?,0,Yes,Yes,1
553,Is the difference between two largest segment Even?,0,Yes,Yes,1
554,Is the color of largest segment yellow?,0,Yes,Yes,1
555,What's the ratio of largest segment and sum of two smallest segment (A:B)?,0,0.626388889,15:2,0
556,How many agrees with Obama that it's a Good idea?,0,0.42,42%,0
557,What the difference in value between Good idea and Bad idea?,0,7,7%,1
558,What color shows 5% in the Pie graph?,0,gray,Grey,0
559,What is the difference in value between Same and sum of More and Less?,0,12,12%,1
560,What is the color of DK?,0,gray,cream,0
561,What is the difference in value in Decreasing and Dk in the Pie chart?,0,1,1%,1
562,What does Grey represent in the Pie graph?,0,"No, would not","No, would not",1
563,What percent of value is not shown in the PIE GRAPH?,0,0.04,4%,0
564,What is the value of largest segment?,0,0.53,53%,0
565,In how many segment is the Pie chart What divided?,0,3,3,1
566,What color shows 8 % in the Pie graph?,0,gray,Light Gray,0
567,Is the value of No more then sum of Yes and Dk?,0,Yes,Yes,1
568,What shows the highest value in the Pie chart?,0,Favor,Favor,1
569,What is the difference in value between Oppose and DK/Ref?,0,16,16%,1
570,Is the color of segment gray whose value is 3%?,0,Yes,Yes,1
571,Is the sum of two smallest segment greater than largest segment?,0,No,No,1
572,What's the percentage value of biggest segment?,0,49,49%,1
573,What's the ratio of smallest and second largest segment?,0,0.048611111,0.1,0
574,What's the color of smallest segment?,0,gray,light grey,0
575,Is the total add up value of all the three smallest segment is greater then largest segment value?,0,No,No,1
576,What's the value of Satisfied segment?,0,17,17%,1
577,What's the difference of the value of Satisfied and Dissatisfied value?,0,64,64%,1
578,How many segments are smaller than 10%?,0,3,3,1
579,"Take sum of three smallest segment, multiply it 5, is the result greater than largest segment?",0,No,No,1
580,What's the percentage value of Muslim?,0,10,10%,1
581,What's the ratio of Catholic and Muslim (A:B)?,0,0.043055556,0.5,0
582,What's the percentage value of Don't know segment?,0,4,4%,1
583,What's the average of two largest segment?,0,48,48%,1
584,Is the color of largest segment yellow?,0,Yes,Yes,1
585,What's the ratio of second and third smallest segment?,0,0.04375,0.333,0
586,What is the value of smallest section of the pie chart?,0,9,9%,1
587,What is the difference between largest pie section  and the smallest pie section?,0,49,49%,1
588,What is the value of the largest pie section?,0,57,57%,1
589,What is the sum of largest section and the smallest section?,0,66,66%,1
590,What is the percentage of Approved of work permit and deportation relief?,0,553197,0.8607,0
591,Is the Denial values the least value in the Pie chart?,0,Yes,Yes,1
592,What is the percentage value of Job related in Pie chart?,0,0.42,42%,0
593,"Is the sum of Other and Job related more then sum of Housing,Retired and Household/family?",0,No,No,1
594,What is the value of Very unfavourable in Pie graph?,0,53,53%,1
595,"Is the sum of Some what unfavorable ,Favorable and Dont know more then Very unfavorable?",0,No,No,1
596,Which segment has value of 52% in the Pie graph?,0,Increased,Increased,1
597,How many segment show less then 52% in the Pie segment?,0,3,3,1
598,"What's the value of ""Other ""segment?",0,4,4%,1
599,Does the sum of all three smallest segments value is greater the the value of 2nd largest segment?,0,Yes,Yes,1
600,What is the percentage of the Don't know?,0,33,33%,1
601,What is the sum of the % of the favorable and the  Don't know?,0,41,41%,1
602,What percent of opinions was 6%?,0,Recovering strongly,6%,0
603,What is the total percentage the recovering strongly and the refused?,0,0.08,8%,0
604,What percentage of  people says it is a bad thing?,0,61,61%,1
605,What is the percentage difference between the people who says it is bad and those who says it is good?,0,27,27%,1
606,Which section had highest percentage?,0,Orthodox,Orthodox,1
607,How much percentage had catholic more than protestant?,0,20,20%,1
608,How many percentage British now want to remain in EU?,0,0.5,50%,0
609,How many percentage people want to leave EU?,0,0.41,41%,0
610,What percent does Mostly agree represent?,0,33,33%,1
611,"Is the sum of Mostly disagree ,Completely disagree,Don't know is more then the sum of Mostly agree and Completely agree?",0,No,No,1
612,What does 8 percent represent?,0,Don't know,Don't know,1
613,What is the difference in value of Here to stay and Will be eliminated?,0,6,6%,1
614,What is the share of Facebook in the given graph?,0,3.17 ,3.17,1
615,Is the difference between Facebook and Google ad revenue greater than $1 billion?,0,No,No,1
616,Who is the third largest contributor in this graph?,0,Google,Google,1
617,"Is the total of Apple, Twitter and Pandora ad revenue greater than Google's share?",0,Yes,Yes,1
618,Is the percentage value of smallest segment 3?,0,Yes,Yes,1
619,What's the ratio of largest segment and sum of two smallest segment?,0,0.375694444,9,0
620,Is the color of Don't know segment grey?,0,Yes,No,0
621,What's the product of two smallest segment?,0,110,"The two smallest segments in the chart are:
1. Don't know: 5%
2. Bad thing: 22%

To find the product, convert the percentages to decimal form:
5% = 0.05
22% = 0.22

Now, multiply these decimal values:
0.05 * 0.22 = 0.011

According to the instructions, if the result is not a percentage (like 27%), it should be provided in decimal form. The product 0.011 is a decimal.

0.011",0
622,What's the color of second largest segment?,0,Green,green,1
623,What's the ratio of largest segment and second smallest segment?,0,0.250694444,6,0
624,"Is the value of ""Don't know"" segment 7%?",0,Yes,Yes,1
625,What's the product of smallest segment and second smallest segment?,0,196,0.0196,0
626,What percentage of Indians are dissatisfied with the country's direction?,0,0.7,70%,0
627,What is the ratio between the percentage of Indians who are dissatisfied versus the ones who are satisfied with the country's directon?,0,2.414,2.41,0
628,What percentage of people see Pakistan as greatest threat to India?,0,47,47%,1
629,Is the sum of the greatest threat to India more than the sum of the next two biggest threats to India?,0,Yes,Yes,1
630,What is the percentage value of gray segment?,0,15,15%,1
631,What's the sum of all the segments with a percentage value smaller than 30?,0,44,44%,1
632,What's the color of largest segment?,0,Orange,Gold,0
633,"Take sum of two smallest segment, multiply it by 2, is the result greater than largest segment?",0,No,No,1
634,What's the percentage value of Don't know opinion?,0,9,9%,1
635,What's the ratio of two largest segment (A:B)?,0,0.042361111,1,0
636,What's the percentage of vote for BJP?,0,63,63%,1
637,Is the median of all the segments greater than sum of two smallest segment?,0,No,No,1
638,What segment has value of 26% in the Pie chart?,0,No,No,1
639,What percent says Yes that they receive payment on their cell phone?,0,56,56%,1
640,In how many parts is the Pie graph divided?,0,4,4,1
641,How many shades of Green is the pie graph divide?,0,4,4,1
642,What color are in the Pie graph?,0,"[Blue, Grey, Green]","[Blue, Olive green, Light beige]",0
643,What is the difference of value in Not satisfied and Don't know?,0,20,20%,1
644,What does Blue color  shows in the pie graph?,0,Small/not a problem,Small/not a problem,1
645,Is the sum of Don't know and Small /not a probelm more then Very /moderately big problem?,0,No,No,1
646,Find the  percentage whose value occupied most in the pie chart?,0,0.76,76%,0
648,What's the color of biggest section of the chart?,0,Blue,Blue,1
649,What's the difference in the value of blue and grey section of the chart?,0,59,59%,1
650,What's the color of the 2nd smallest section of the chart?,0,gray,grey,0
651,What's the average value of largest 3 section's of the chart?,0,29,29%,1
652,What's the color of second largest segment?,0,Yellow,golden yellow,0
653,Is the difference between two largest segment greater than smallest segment?,0,Yes,Yes,1
654,What's the color of largest segment?,0,Green,green,1
655,What's the ratio of second largest segment and smallest segment?,0,24,24,1
656,What color shows 5 % in the Pie graph?,0,Blue,Blue,1
657,What is the difference in the value Worse and Neither better nor worse?,0,5,5%,1
658,What color represent  Don't know?,0,Orange,Orange,1
659,"Is the sum of More Fewer and Don""t know more then About the same ?",0,No,No,1
660,How many color are there in the Pie graph?,0,3,3,1
661,What the difference in No confidence and Confidence?,0,2,2%,1
662,In how many parts are Pie chart divide?,0,4,4,1
663,What is the biggest pie represent in the Pie chart?,0,Very easy,Very easy,1
664,"What's the the color of ""Did Not Try"" Segment of the graph?",0,Blue,Blue,1
665,What's the difference in the value of smallest two segment of the graph?,0,1,1%,1
666,What's the color of smallest segment of the graph?,0,gray,gray,1
667,What's the average of value of all three segment of the graph?,0,33.3,33.33%,0
668,What's the percentage value of Too much segment?,0,5,5%,1
669,How many segment values exceed 30%?,0,2,2,1
670,Is the color of largest segment Blue?,0,No,No,1
671,"What's the ratio of two largest segment (A:B, A<B)?",0,0.678472222,0.941,0
672,What is the value of the grey pie?,0,0.17,17%,0
673,What is the value of the red pie?,0,0.83,83%,0
674,What is the percentage of Not much control?,0,0.37,37%,0
675,What is the ratio between Refused and A lot of control?,0,0.33,0.33,1
676,What is the value of dark blue segment?,0,31,31%,1
677,Is the sum of dark blue and light blue segment value is equal to the sum of white and grey segment value?,0,No,No,1
678,"Is the color of ""Don't know/Refused"" segment gray?",0,Yes,Yes,1
679,"What's the ratio of two largest segment (in A:B, A<B)?",0,0.555555556,0.65,0
680,How many segment has value greater than 34%?,0,2,2,1
681,"Take sum of two largest segment, substract smallest segment from the sum, what's the result?",0,85.5,85.5%,1
682,Is the percentage value of smallest segment 9?,0,Yes,Yes,1
683,What is the percentage value of largest pie?,0,0.34,41%,0
684,Which color has the highest value in the Pie chart?,0,Green,green,1
685,Will the value of Bad things and Don't know be more then Good things if its added?,0,No,No,1
686,What is the largest pie represented?,0,Want to get married someday,Want to get married someday,1
687,What percent shows the highest score in the Pie graph?,0,58,58%,1
688,Is the Grey color section is the minimal value in the chart?,0,Yes,Yes,1
689,What' the average of all the biggest three values in the chart?,0,31.67,31.67,1
690,How many pie are there in the chart?,0,4,1,0
691,What's the difference in value of given percentage of the first two biggest pie of the chart?,0,17.5,17.5%,1
692,"What's the color of ""Support"" pie of the graph?",0,Green,green,1
693,What's the difference in the value of Oppose and Support?,0,8,8%,1
694,What is the color of smallest section of the chart?,0,gray,gray,1
695,What's the average of all the three biggest value of the chart?,0,33,33%,1
696,Which branch of military constitutes maximum value?,0,Army,Army,1
697,Is the total percentage of Army and Coast Guard more than total percentage of Navy and Air Force?,0,No,No,1
698,What is the percentage of Army Reserve?,0,0.24,24%,0
699,"Is the total percentage of Coast Guard Reserve, Marine Corps Reserve and Navy Reserve equals to the percentage of Air National Guard?",0,Yes,Yes,1
700,What percent shows Never married in the Pie chart?,0,27,27%,1
701,What is the difference of value in Widowed and Separated?,0,7,7%,1
702,What value does the Grey Represent in the Pie chart?,0,1,1%,1
703,What is the sum of Federal govt.should require employers to provide paid leave and Employers should be able to decide for themselves?,0,99,99%,1
704,What's the percentage value of gray segment?,0,75,75%,1
705,What is the value of the largest segment?,0,0.75,75%,0
706,Is the percetage value of largest segment 47?,0,Yes,Yes,1
707,What's the median of three largest segment?,0,30,30%,1
708,What's the number of refugee admissions by Muslim?,0,2778,2778,1
709,"Take difference between two largest segment, add it to smallest segment, what's the result?",0,227,227,1
710,What's the color of DK segment?,0,gray,white,0
711,Is the largest segment value is two times the value of Major reduction segment?,0,No,No,1
712,What is the value of largest segment?,0,86,86%,1
713,Is the largest segment is three times the value of smallest segment?,0,No,No,1
714,What's the percentage of U.S. adults who like seeing a lot of coverage of the presidential compaign and candidates?,0,39,39%,1
715,What's the ratio of second largest segment and sum of smallest and largest segment?,0,0.555555556,0.65,0
716,What's the percentage who say they have heard a lot about the political movement known as the alt-right?,0,17,17%,1
717,"What's the ratio of ""Nothing at all segment"" and ""A little segment""?",0,1.92857,1.93,0
718,What color does Heard a little show in Pie chart?,0,39,light beige,0
719,What is the difference in value Heard nothing/Dk and Heard a little?,0,10,10%,1
720,What represent the least value in a Pie chart?,0,Unknown,Unknown,1
721,Is the value of Flagged active more then Flagged inactive?,0,Yes,Yes,1
722,Is the yellow segment smallest?,0,No,No,1
723,What's the difference between largest segment and sum of two smallest segment?,0,62,62%,1
724,How many segments have blue color shades?,0,3,3,1
725,What's the sum of all the segments whose value is below 30?,0,60,60%,1
726,Is the percentage value of smallest segment 7?,0,Yes,Yes,1
727,"Is the sum of two smallest segment greater than ""Consistently supported Clinton"" segment?",0,No,No,1
728,What's the percentage of U.S. adults who have no answer?,0,0.01,1%,0
729,"Take sum of smallest and largest segment, divide it by second largest segment, what's the result (round to one decimal place)?",0,1.5,1.5,1
730,What's the percentage value of second smallest segment?,0,8,8%,1
731,What's the ratio of second smallest segment and largest segment?,0,0.092361111,0.154,0
732,Is the color of largest segment navy blue?,0,Yes,Yes,1
733,"Divide largest segment by smallest segment, is the result greater than smallest segment?",0,No,No,1
734,What's the color of smallest segment?,0,gray,gray,1
735,Is the sum of smallest two segment is equal to largest segment?,0,No,No,1
736,What's the value of largest segment?,0,0.77,77%,0
737,"Is the ""Don't know segment"" value is half the value of the ""Bad for the U.S."" Segment value?",0,No,No,1
738,What's the percentage of people choosing don't know?,0,6,6%,1
739,What's the percentage of people choosing an option other than don't know?,0,94,94%,1
740,What's the percentage of people saying U.S. should help other countries deal with their problems?,0,37,37%,1
741,"Add two smallest segment, deduct the result from largest segment, what's the final result?",0,15,15%,1
742,What's the percentage of Israeli adults who identify as Muslim?,0,14,14%,1
743,What's the sum of all the segments with values below 10?,0,5,13%,0
744,How many segments have green shade?,0,2,2,1
745,Is the difference between Support and Oppose segment greater than smallest segment?,0,Yes,Yes,1
746,What's the percentage value of segment whose color is darkest?,0,40,40%,1
747,How many segments have value above 30%?,0,2,2,1
748,What's the color of the Dati segment in the chart?,0,Blue,blue,1
749,Is biggest segment greater than two times of smallest segment?,0,Yes,Yes,1
750,What's the color of the smallest segment of the graph?,0,gray,gray,1
751,Is biggest segment greater than two times of smallest segment?,0,Yes,Yes,1
752,What's the most popular opinion in the chart?,0,Should unlock iPhone,51%,0
753,What's the percentage of people don't choose should unlock iPhone?,0,0.49,49%,0
754,What's the percentage of people choosing not subjected to additional scrutiny?,0,61,61%,1
755,What is the color of the second largest pie?,0,Brown,dark brown,0
756,What's the percentage value of Should express segment?,0,50,50%,1
757,"Take average of two largest segment, divide it by smallest segment, what's the result?",0,12,12,1
758,Is the color of largest segment light blue?,0,Yes,Yes,1
759,"Take difference between two largest segment, multiply it by smallest segment, what's the result?",0,16,0.0016,0
760,Is the color of largest segment blue?,0,No,No,1
761,"Take sum of light and dark blue segment, multiply it by 2, is the result greater than largest segment?",0,Yes,Yes,1
762,What's the percentage of all teens who have never been in a romantic relationship?,0,64,64%,1
763,What's the ratio of smallest and largest segment?,0,0.015625,0.015625,1
764,What is the color of Don't Know segment?,0,gray,beige,0
765,What is the difference between the two largest segments?,0,42,42%,1
766,What color is the segment for women?,0,gray,Beige,0
767,What is the difference between men and women work percentage?,0,10,10%,1
768,What's the percentage of respondents who don't know?,0,8,8%,1
769,Is the sum of two smallest segment equal to average of all the segments?,0,Yes,Yes,1
770,What's the percentage of total remittances in Spain?,0,8,8%,1
771,How many segments have value below 20%?,0,3,3,1
772,What is the color of Don't know?,0,gray,white,0
773,What is the difference between the percentage of Favor and Oppose?,0,8,8%,1
